label,d_value,regime,n,observable,chi_column,peak_T,peak_chi,peak_M,peak_Mz,peak_Mxy,lowT_M,lowT_Mz,lowT_Mxy,highT_M,highT_Mz,highT_Mxy
dm2p0,-2.0,easy_plane,16,Mxy,chi_xy,1.05,0.173894,0.769494,0.007073,0.769443,0.895496,0.004836,0.895475,0.769494,0.007073,0.769443
dm2p0,-2.0,easy_plane,32,Mxy,chi_xy,0.95,0.232051,0.797668,0.002301,0.797662,0.894103,0.001741,0.8941,0.767338,0.002441,0.767332
dm2p0,-2.0,easy_plane,64,Mxy,chi_xy,1.05,0.272809,0.766589,0.00088,0.766589,0.89388,0.000599,0.893879,0.766589,0.00088,0.766589
dm2p0,-2.0,easy_plane,96,Mxy,chi_xy,1.05,0.266634,0.766078,0.000459,0.766078,0.893783,0.000334,0.893783,0.766078,0.000459,0.766078
dm2p0,-2.0,easy_plane,128,Mxy,chi_xy,1.05,0.25775,0.766171,0.000303,0.76617,0.893862,0.000213,0.893862,0.766171,0.000303,0.76617
dm1p0,-1.0,easy_plane,16,Mxy,chi_xy,1.223333,0.357841,0.664581,0.011116,0.664434,0.739949,0.010276,0.739839,0.650232,0.011142,0.650082
dm1p0,-1.0,easy_plane,32,Mxy,chi_xy,1.25,0.674758,0.645379,0.00393,0.64536,0.736649,0.003516,0.736636,0.645379,0.00393,0.64536
dm1p0,-1.0,easy_plane,64,Mxy,chi_xy,1.25,0.70338,0.643845,0.001404,0.643843,0.73588,0.001196,0.735879,0.643845,0.001404,0.643843
dm1p0,-1.0,easy_plane,96,Mxy,chi_xy,1.236667,0.831342,0.65125,0.000767,0.651249,0.735841,0.0007,0.735841,0.643807,0.000728,0.643806
dm1p0,-1.0,easy_plane,128,Mxy,chi_xy,1.223333,0.714625,0.658201,0.000469,0.658201,0.735994,0.000443,0.735994,0.643737,0.000519,0.643737
dm0p5,-0.5,easy_plane,16,Mxy,chi_xy,1.2,0.400232,0.641475,0.016023,0.641164,0.735426,0.013467,0.735233,0.641475,0.016023,0.641164
dm0p5,-0.5,easy_plane,32,Mxy,chi_xy,1.2,0.526381,0.637346,0.00577,0.637305,0.731879,0.004581,0.731856,0.637346,0.00577,0.637305
dm0p5,-0.5,easy_plane,64,Mxy,chi_xy,1.186667,0.664366,0.642802,0.002015,0.642797,0.73122,0.001727,0.731217,0.635027,0.001944,0.635022
dm0p5,-0.5,easy_plane,96,Mxy,chi_xy,1.173333,0.834219,0.649787,0.001031,0.649786,0.731171,0.000928,0.73117,0.634982,0.001105,0.63498
dm0p5,-0.5,easy_plane,128,Mxy,chi_xy,1.173333,0.653197,0.650021,0.000673,0.65002,0.731258,0.000602,0.731257,0.634933,0.0007,0.634932
d0,0.0,isotropic,16,M,chi,1.46,8.644792,0.212815,0.106463,0.167399,0.536313,0.265842,0.424018,0.070932,0.035308,0.055895
d0,0.0,isotropic,32,M,chi,1.46,29.663477,0.104357,0.052654,0.081715,0.520126,0.250336,0.415631,0.024969,0.012537,0.019547
d0,0.0,isotropic,64,M,chi,1.436667,59.874935,0.178139,0.089623,0.138793,0.512606,0.252724,0.407422,0.008854,0.00444,0.006949
d0,0.0,isotropic,96,M,chi,1.436667,77.20751,0.167909,0.087153,0.130707,0.51003,0.255902,0.400283,0.004801,0.002409,0.00376
d0,0.0,isotropic,128,M,chi,1.436667,94.367624,0.16197,0.076458,0.129504,0.508808,0.256852,0.397143,0.003141,0.001576,0.002465
d0,0.0,isotropic,192,M,chi,1.444,1127.742615,0.048361,0.02336,0.038508,0.242764,0.119693,0.191344,0.004423,0.002173,0.00351
dp0p5,0.5,easy_axis,16,Mz,chi_z,1.18,0.174598,0.708266,0.707731,0.024303,0.806972,0.806625,0.02087,0.699809,0.699228,0.025167
dp0p5,0.5,easy_axis,32,Mz,chi_z,1.2,0.186494,0.698896,0.69882,0.009093,0.806807,0.806764,0.007356,0.698896,0.69882,0.009093
dp0p5,0.5,easy_axis,64,Mz,chi_z,1.2,0.193722,0.699195,0.699186,0.003167,0.806782,0.806777,0.002506,0.699195,0.699186,0.003167
dp0p5,0.5,easy_axis,96,Mz,chi_z,1.2,0.183039,0.699171,0.699169,0.001715,0.806779,0.806777,0.001364,0.699171,0.699169,0.001715
dp0p5,0.5,easy_axis,128,Mz,chi_z,1.2,0.17641,0.699184,0.699183,0.001069,0.80678,0.806779,0.00088,0.699184,0.699183,0.001069
dp1p0,1.0,easy_axis,16,Mz,chi_z,1.3,0.140467,0.721827,0.721548,0.017867,0.830619,0.830454,0.014744,0.721827,0.721548,0.017867
dp1p0,1.0,easy_axis,32,Mz,chi_z,1.3,0.142021,0.721708,0.721671,0.006554,0.830455,0.830436,0.005056,0.721708,0.721671,0.006554
dp1p0,1.0,easy_axis,64,Mz,chi_z,1.3,0.135773,0.721504,0.7215,0.002217,0.830472,0.830469,0.001849,0.721504,0.7215,0.002217
dp1p0,1.0,easy_axis,96,Mz,chi_z,1.3,0.144952,0.721471,0.721469,0.001265,0.830465,0.830464,0.001008,0.721471,0.721469,0.001265
dp1p0,1.0,easy_axis,128,Mz,chi_z,1.3,0.135796,0.721494,0.721494,0.000792,0.830448,0.830447,0.000646,0.721494,0.721494,0.000792
dp2p0,2.0,easy_axis,16,Mz,chi_z,1.032,0.028477,0.860725,0.860641,0.01065,0.902247,0.902186,0.009228,0.857417,0.857328,0.010937
dp2p0,2.0,easy_axis,32,Mz,chi_z,1.032,0.029995,0.860611,0.860601,0.003829,0.902047,0.902039,0.003231,0.857255,0.857243,0.003938
dp2p0,2.0,easy_axis,64,Mz,chi_z,1.032,0.028723,0.860591,0.86059,0.001332,0.902051,0.90205,0.001124,0.857215,0.857214,0.001346
dp2p0,2.0,easy_axis,96,Mz,chi_z,1.05,0.030765,0.857223,0.857222,0.000734,0.902049,0.902049,0.000611,0.857223,0.857222,0.000734
dp2p0,2.0,easy_axis,128,Mz,chi_z,1.05,0.02945,0.85722,0.85722,0.000482,0.902047,0.902047,0.000392,0.85722,0.85722,0.000482
